8551|863
8562|864
8562|865
8562|867
8551|894
8562|898
8562|909
8562|912
8562|920
8562|921
8562|922
8562|926
8562|927
8562|942
8562|963
8562|995
8562|1008
8562|1011
8562|1032
8562|1046
8562|1064
8562|1071
8562|1074
8562|1080
8562|1081
8562|1083
8562|1088
8562|1090
8562|1119
8551|1125
8562|1155
8562|1167
8562|1172
8562|1184
8562|1188
9096|1193
8562|1196
8562|1203
8562|1216
8562|1224
8562|2914
8562|2915
8562|2962
8562|3046
8562|3091
8562|3092
8562|3108
8562|3109
8562|3110
8562|3151
8562|3185
8562|3187
8562|3235
8562|3236
8562|4529
8562|4579
8562|4632
8562|4711
8562|4893
8562|4940
8562|5079
8562|5084
4301|5157
8562|5159
8562|5221
8562|5246
8562|5310
8562|5348
8562|5361
2834|4080
2834|4081
2834|4143
2834|4469
7412|4752
2834|4904
2834|5088
2834|5229
2834|5356
2834|5576
2834|5794
2834|6160
2834|6293
2834|6930
2834|7358
2834|7411
2834|7444
5052|64
2763|BLANK
8562|1453
8562|1495
8562|1501
8562|1507
8551|1553
8551|1554
8551|1560
8562|1577
8562|1609
8562|1657
8562|1683
8562|1697
8562|1710
8562|1740
8562|1810
8562|1830
8562|1843
8551|1919
8562|1926
8562|1962
8562|1996
8562|2003
7949|2019
8562|2036
8551|2075
8562|2077
8562|2097
8551|2149
8551|2161
8562|2177
8551|2180
8562|2183
8562|2222
8562|2223
19717|2327
8562|2328
8562|2333
8562|2340
8562|2342
8562|2353
8562|2355
8562|2359
8562|2375
8562|2380
8892|2387
8562|2474
8562|2481
8551|2492
8562|2539
8562|2579
8562|2597
8562|2613
8562|2642
8562|2646
8562|2653
8562|2654
8562|2658
8562|2679
8562|2751
8562|2774
8562|2799
8562|2837
8562|2838
8562|2846
8562|2909
8562|2927
8562|2944
8551|2968
8562|3121
8562|3184
8552|3248
8562|3269
8562|3280
8562|3295
8562|3296
8562|3328
8562|3339
8562|3353
8562|3386
8562|3443
8562|3508
8562|3520
8562|3535
8562|3537
3045|3538
8562|3561
8552|3665
8562|3681
8562|3761
8562|3790
8562|3809
8562|3814
8562|3825
8562|3827
8562|3839
8562|3849
8562|3925
8562|3950
8562|BLANK
135|1800
18960|822
8206|2514
15278|3623
18137|2627
31343|3399
2638|3168
15278|2042
29190|3414
26238|3058
26335|1097
4464|1864
28936|1882
2834|5219
2858|15238
31858|5341
31858|6131
23675|5435
135|23507
30606|760
135|9767
3369|1285
507|7420
20295|4513
33609|3973
7265|14695
31981|1548
2638|11767
31583|886
2875|150
22334|275
31583|1746
9904|9443
8562|6780
20367|4626
532|1187
24698|1031
4600|1668
4074|930
33609|4472
1695|1084
135|34006
2497|283
4600|146
32149|1796
